institution,overall_score_2018,overall_score_2019,overall_score_2021,overall_score_2023,overall_score_2025,overall_score_2026
STANFORD UNIVERSITY,98.7,98.6,98.4,98.31090578444781,96.67526777634114,94.13659411434436
HARVARD UNIVERSITY,98.4,98.5,97.4,97.39255103875433,96.73535913824307,94.52233767585146
CALIFORNIA INSTITUTE OF TECHNOLOGY (CALTECH),97.7,97.2,96.9,96.87489820870485,97.4423788630045,95.39935894733958
UNIVERSITY OF CAMBRIDGE,95.6,95.6,95.0,98.60128080256439,96.98113027725645,95.58442127584743
UNIVERSITY OF OXFORD,95.3,96.8,97.2,98.18490223594063,97.07134743459665,94.90126385663473
IMPERIAL COLLEGE LONDON,93.7,93.3,94.1,96.81042134128106,98.07444726641396,96.88124158097914
UNIVERSITY OF CHICAGO,93.5,93.2,92.0,93.02790811004428,88.87474530665659,86.34375269214343
PRINCETON UNIVERSITY,91.0,90.9,90.9,89.07508642886131,84.74094793768589,81.26201178744593
CORNELL UNIVERSITY,90.7,90.5,89.3,87.00845244901461,84.83129420935944,81.79942481729442
NATIONAL UNIVERSITY OF SINGAPORE (NUS),90.5,92.0,91.8,92.5116035395526,91.03636256699733,88.85921204659783
YALE UNIVERSITY,90.4,89.6,87.7,88.88037929691657,85.6954492719388,83.53927271093143
JOHNS HOPKINS UNIVERSITY,89.8,85.9,83.9,84.94319202638818,85.75662334177565,84.43672280552366
COLUMBIA UNIVERSITY,88.9,88.5,87.4,86.5268806846662,83.26137811334644,80.4316264305145
UNIVERSITY OF PENNSYLVANIA,88.7,86.5,88.9,90.4249285466224,90.62544379981242,88.80264455095298
DUKE UNIVERSITY,87.0,83.9,83.8,74.67248373276726,72.99662068698188,68.10310385271082
TSINGHUA UNIVERSITY,85.6,87.2,88.6,89.92827028750975,90.14419490338591,88.37304364872061
NORTHWESTERN UNIVERSITY,84.8,81.5,81.5,81.68477411520539,78.58945732051006,76.07567095698334
THE UNIVERSITY OF TOKYO,84.8,85.3,84.3,85.20323639276955,81.5615624053357,79.1976184131726
UNIVERSITY OF TORONTO,84.0,83.0,82.1,81.33571583751097,78.62181363512101,75.9962638924971
MCGILL UNIVERSITY,83.9,81.7,80.4,81.7865229286821,79.448648107895,77.57494257899394
THE UNIVERSITY OF MANCHESTER,83.0,82.9,82.7,82.1429875154821,77.20216990599269,74.10721528668688
KYOTO UNIVERSITY,81.5,81.2,80.5,81.25068013850264,78.12577263952815,75.85171027819875
